atmospheric_pressure,visible_cloud,wind_direction,wind_speed,sky_color,ocean_wave_speed,temperature,animal_activity,storm_coming
1023.3,Cirrus,East,79.4,Green,Low,Decline,Low,No
1005.1,Cumulonimbus,East,76.8,Gray,Low,Decline,Low,No
1012.1,Cumulonimbus,South,59.3,Orange,Low,Decline,High,Yes
1003.7,Cirrus,East,79.1,Green,Low,Decline,Low,No
1012.2,Cumulonimbus,South,50.9,Orange,High,Stable,High,Yes
1013.4,Cumulonimbus,North,44,Orange,Medium,Decline,Low,Yes
1006.8,Cumulonimbus,South,41.5,Gray,Low,Stable,Low,Yes
1022.3,Cumulonimbus,East,79,Gray,Low,Decline,Low,No
1005.4,Stratus,East,58.9,Orange,Low,Decline,Low,Yes
1005.2,Stratus,,47,Orange,High,Stable,High,Yes
1023.9,Stratus,South,78,Green,High,Stable,High,No
1004,Stratus,East,82.6,Green,Low,Decline,Low,No
1005.3,Cirrus,East,43.4,Green,High,Decline,Low,No
1013.2,Cirrus,West,59.6,Orange,High,Rise,High,Yes
1011.5,Cumulonimbus,East,61.2,Orange,Low,Stable,Low,Yes
1003.3,Cirrus,South,77,Green,High,Rise,High,No
1002.1,Stratus,East,83.2,Blue,Medium,Rise,Low,No
1005.4,Cirrus,East,77.8,Green,Low,Decline,Low,No
1022.8,Cirrus,South,44.3,Green,High,Decline,High,No
1013,Stratus,East,55.2,Orange,Low,Decline,Low,Yes
1006.7,Cumulonimbus,East,75.2,Green,Low,Decline,Low,No
1004.7,Cirrus,West,78.3,,Low,Rise,High,No
1006.3,Cirrus,East,83,Green,Low,Decline,Low,No
1003.8,Cirrus,East,81.1,Green,High,Decline,Medium,No
1023.3,Cumulonimbus,South,80.3,Green,High,Stable,High,No
1011.1,Cirrus,East,50.1,Orange,High,Rise,High,Yes
1013.2,Cumulonimbus,South,47.7,Orange,Low,Rise,Medium,Yes
1022.9,Cirrus,South,75.7,Green,Medium,Stable,Medium,No
1011.7,Cumulonimbus,South,66.1,Orange,High,Rise,Low,Yes
1002.6,Cirrus,East,83.6,Blue,Medium,Decline,Low,No
1013.8,Cumulonimbus,East,41.9,Orange,Low,Decline,Medium,Yes
1004.2,Cumulonimbus,,82.8,Green,Low,Decline,Low,No
1006.5,Cumulonimbus,South,41.6,Orange,High,Decline,Low,Yes
1002.8,Cirrus,East,78.5,Gray,Low,Rise,Low,No
1014,Stratus,South,52.3,Orange,Low,Rise,Low,Yes
1003,Cirrus,East,83.1,,Low,Decline,Low,No
1002.7,Cumulonimbus,North,77.7,Green,High,Decline,Low,No
1002.9,Cirrus,East,78.3,Gray,Low,Rise,Low,No
1011.1,Cumulonimbus,South,52.5,Orange,High,Stable,High,Yes
1013.5,Cumulonimbus,South,52.6,Orange,Low,Stable,Medium,Yes
1012,Cirrus,South,73.4,Gray,High,Stable,Medium,Yes
1011.2,Cirrus,South,71.7,Orange,Medium,Decline,High,Yes
1003.2,Cirrus,East,76.6,Green,High,Stable,High,No
1005.3,Cirrus,East,77.5,Blue,High,Decline,Low,No
1024.1,Cirrus,East,79.4,,High,Stable,High,No
1006.4,Stratus,East,83,Green,Low,Decline,Low,No
1006.1,Cirrus,East,48.8,Green,Low,,Low,No
1006.3,Cirrus,South,83,Gray,Medium,Rise,High,No
1004.2,Cumulonimbus,East,44.1,Green,Low,Stable,Low,No
1004.7,Cirrus,South,82,Blue,High,Decline,High,No
1002.5,Stratus,East,76.1,Blue,High,Decline,Low,No
1012,Cumulonimbus,East,71.3,Orange,High,Decline,High,Yes
1003.9,Cirrus,West,84.1,Green,Low,Decline,Medium,No
1006.8,Cirrus,South,81.7,Green,High,Rise,High,No
1021.2,Stratus,East,41.2,Blue,Medium,Decline,Low,No
1011.9,Cumulonimbus,South,58.8,Orange,High,Stable,Medium,Yes
1011.8,Cumulonimbus,East,70.9,Orange,Low,Decline,Low,Yes
1003.2,Cumulonimbus,East,71.3,Orange,High,Decline,Medium,Yes
1013.7,Cirrus,East,52.8,Blue,High,Stable,Medium,Yes
1003.7,Cirrus,South,78.5,Gray,High,Stable,High,No
1003.4,Cirrus,South,81.9,Green,High,Rise,High,No
1005.2,Cirrus,South,81.1,Gray,High,Stable,High,No
1004.2,Cirrus,East,79.5,Green,Low,Decline,Low,No
1003.4,Cirrus,South,84.2,Blue,Medium,Rise,Medium,No
1003.8,Cumulonimbus,East,84.5,Green,Medium,,Low,No
1002.6,Cirrus,East,77.8,Gray,High,Rise,High,No
1012.4,Cumulonimbus,South,72.8,Orange,High,Stable,High,Yes
1012,Cirrus,East,58.6,Orange,High,Decline,Low,Yes
1011.7,Cumulonimbus,South,52.1,Orange,High,Decline,Medium,Yes
1004,Cirrus,East,80.3,Green,Medium,Decline,Low,No
1013.9,Cumulonimbus,South,68,Orange,Low,Stable,High,Yes
1012,Cumulonimbus,East,63.2,Gray,High,Stable,High,Yes
1012.3,Cumulonimbus,East,42,Orange,High,Stable,Medium,Yes
1013.2,Cumulonimbus,West,43.2,,Low,Stable,Low,Yes
1021.8,Cumulonimbus,South,83.9,Green,Low,Stable,Medium,No
1012.2,Cumulonimbus,South,42.3,,High,Stable,Medium,Yes
1006.4,Cirrus,South,77,Green,High,,High,No
1004.1,Stratus,North,45.1,Green,Low,Decline,Low,No
1005.5,Cirrus,West,75.3,,High,Decline,High,No
1012,Cumulonimbus,South,58.9,Orange,High,Decline,Low,Yes
1012.6,Cirrus,West,62.9,Orange,High,Decline,High,Yes
1012.6,Cumulonimbus,East,72.1,Gray,Low,Decline,Low,Yes
1004.5,Cirrus,East,79.5,Green,High,Rise,Low,No
1002.9,Stratus,South,51.7,,High,Rise,High,Yes
1012.8,Stratus,South,60.7,Blue,Low,Stable,Low,Yes
1012.9,Cumulonimbus,South,60.6,Orange,High,Stable,Medium,Yes
1002.1,Cumulonimbus,East,75.8,Blue,Low,Rise,High,No
1004.7,Cirrus,East,78.2,Green,Low,,Low,No
1011.3,Cirrus,East,52.3,Blue,High,Decline,Low,Yes
1006.4,Cirrus,South,77.4,Gray,High,Stable,High,No
1012,Cumulonimbus,West,54,Gray,High,Stable,High,Yes
1013.6,Cumulonimbus,East,71.7,,High,Decline,Low,Yes
1013.8,Stratus,East,73.7,Orange,Low,Decline,High,Yes
1020.6,Cumulonimbus,North,77.1,Green,Low,Decline,Low,No
1004.8,Stratus,East,80.8,Green,Low,Decline,Low,No
1005.2,Cirrus,West,43.2,Gray,High,Decline,High,No
1004.5,Stratus,South,82.1,Green,High,Decline,High,No
1003.9,Cirrus,,75.7,Green,High,Decline,High,No
1013.5,Cumulonimbus,East,61,Orange,High,Decline,Low,Yes
1024.2,Cirrus,South,82.5,Green,Medium,Stable,High,No
1012.7,Cumulonimbus,East,71.7,Gray,Low,Decline,Low,Yes
1013.3,Cumulonimbus,East,63.6,Orange,High,Decline,Medium,Yes
1006,Cirrus,East,82,Green,High,Decline,Low,No
1011.5,Cumulonimbus,East,50.9,Orange,Low,Rise,Low,Yes
1002.9,Cirrus,South,82.8,Green,High,Stable,High,No
1006.8,Cumulonimbus,South,59.6,Orange,High,Stable,High,Yes
1004,Cirrus,South,82.8,Gray,Medium,Stable,High,No
1023.1,Cirrus,South,80.6,Green,High,Stable,High,No
1013.1,Cumulonimbus,East,65.2,Gray,High,Decline,Low,Yes
1005.8,Cirrus,East,78.2,,Low,,High,No
1005.3,Cumulonimbus,South,77.2,Green,High,Decline,High,No
1011.3,Cumulonimbus,East,46.8,Gray,High,Decline,Medium,Yes
1003.8,Cirrus,East,79.2,Green,Low,Rise,High,No
1011,Cumulonimbus,East,46.9,Orange,High,Stable,High,Yes
1013.2,Cirrus,West,70.4,Gray,Low,Decline,Low,Yes
1013.9,Cumulonimbus,East,72.8,Orange,Medium,,Low,Yes
1004.7,Cirrus,East,82.8,Green,Low,Decline,High,No
1004.8,Cumulonimbus,East,79,Green,Medium,Stable,Low,No
1005.8,Cirrus,South,84.3,Green,High,Stable,High,No
1013.5,Cumulonimbus,South,67.8,Gray,Low,Stable,High,Yes
1011,Cirrus,South,50,Orange,High,Stable,High,Yes
1011.4,Stratus,West,40.2,Orange,High,Stable,High,Yes
1012.7,Stratus,South,59.2,Blue,High,Stable,Low,Yes
1005.2,Cirrus,South,81.3,Blue,High,Rise,High,No
1013.5,Cumulonimbus,West,58.6,Gray,High,Stable,Medium,Yes
1002.1,Cumulonimbus,East,77.4,Green,High,Decline,High,No
1011.2,Cirrus,South,60.1,Gray,High,Stable,High,Yes
1013.8,Cirrus,West,50,Blue,Low,Decline,Low,Yes
1003.8,Cumulonimbus,South,44.8,Gray,High,Decline,High,No
1013.4,Stratus,East,45.2,,Medium,Decline,Low,Yes
1012.6,Cirrus,East,55.5,Orange,Low,Decline,Medium,Yes
1005.6,Cumulonimbus,East,61.7,Orange,Low,Stable,Low,Yes
1004.8,Cirrus,East,78.1,Green,Low,Decline,Low,No
1005.9,Cirrus,East,76.1,Gray,Low,Stable,Low,No
1002,Cirrus,North,75.4,Green,Low,Decline,High,No
1013.2,Cirrus,South,72.6,Orange,Low,Stable,High,Yes
1020.5,Cirrus,East,83.4,Gray,Low,Decline,Medium,No
1006.1,Cumulonimbus,South,83.7,Green,High,Stable,High,No
1012.9,Cirrus,East,53.1,Gray,Low,Decline,Low,Yes
1022.4,Cirrus,South,77.2,Green,High,Stable,High,No
1006,Cirrus,South,81.2,Blue,Low,Stable,High,No
1013.4,Cumulonimbus,South,63,Orange,High,Decline,High,Yes
1005.2,Stratus,West,77,Green,High,Stable,High,No
1005.9,Cumulonimbus,South,73.4,Orange,High,Stable,High,Yes
1002.2,Cirrus,West,83,Green,Low,Decline,High,No
1002.1,Stratus,East,84,Green,High,Decline,Low,No
1005.5,Cirrus,West,76.8,Green,Low,Rise,Low,No
1011.2,Cumulonimbus,South,71.7,Blue,High,,Low,Yes
1021.1,Cirrus,West,75.8,Blue,Medium,Decline,Low,No
1005.4,Stratus,East,81.7,Green,High,Decline,Low,No
1012.5,Cumulonimbus,East,55.2,Orange,High,Decline,Low,Yes
1004.3,Cirrus,West,83.2,Green,High,Stable,High,No
1006.2,Cirrus,South,80.7,Green,High,Stable,High,No
1013.3,Cumulonimbus,South,69.2,Orange,High,Stable,Low,Yes
1006.7,Cirrus,South,54.1,Orange,High,Stable,High,Yes
1013.4,Cumulonimbus,East,61.5,Blue,Medium,Decline,Medium,Yes
1005.2,Cirrus,West,77.2,Blue,High,Stable,Low,No
1002.1,Cirrus,East,82.4,Green,Low,Decline,High,No
1004.4,Cirrus,East,73.7,Orange,Low,Stable,Low,Yes
1012.5,Cumulonimbus,South,54.8,Orange,High,Stable,High,Yes
1003.6,Cirrus,South,54.9,Blue,High,Rise,High,Yes
1006.1,Cirrus,South,80.5,Gray,High,,High,No
1012.8,Cumulonimbus,East,41,Orange,Low,Decline,Medium,Yes
1019.1,Cirrus,South,76.8,Blue,High,Stable,High,No
1012.6,Cumulonimbus,South,52.6,Orange,Medium,Rise,High,Yes
1013.1,Cumulonimbus,East,53.4,Orange,High,Stable,Low,Yes
1006.7,Cumulonimbus,South,81.2,Gray,High,,High,No
1006,Cirrus,East,79.6,Blue,Low,Rise,High,No
1004.8,Cirrus,West,68.7,,High,Rise,Medium,Yes
1002.5,Cirrus,South,40,Green,High,Stable,Medium,No
1006.1,Stratus,South,77.2,Gray,Low,Decline,High,No
1005.9,Cirrus,East,78.5,Green,High,Decline,Low,No
1004,Cirrus,North,40.5,Gray,Low,Rise,Low,No
1014,Cumulonimbus,East,64.7,Orange,Low,Decline,Low,Yes
1005.4,Stratus,South,84.9,,High,Decline,High,No
1011.8,Cumulonimbus,South,62.8,Orange,High,Stable,High,Yes
1011.1,Cumulonimbus,East,56.2,Gray,Low,Rise,High,Yes
1013.6,Cumulonimbus,East,57,Orange,Low,Decline,Low,Yes
1002.4,Cirrus,West,75.1,Green,High,Rise,High,No
1011.4,Cumulonimbus,East,63.5,Orange,Low,Decline,Medium,Yes
1020.6,Cirrus,East,75.8,Green,Low,Decline,Low,No
1006.3,Cirrus,East,80.8,Green,Medium,Stable,High,No
1013.5,Cumulonimbus,West,52.1,Orange,Low,Stable,Low,Yes
1006.1,Cirrus,,84.3,Blue,High,,High,No
1002.2,Cirrus,East,81.3,Green,High,Stable,High,No
1011.2,Cumulonimbus,East,70.3,Orange,Low,,Low,Yes
1014,Cumulonimbus,East,64.7,Orange,Low,Decline,Low,Yes
1011.2,Stratus,East,67.3,Orange,Low,Stable,Low,Yes
1002.7,Cirrus,East,62.2,Orange,Low,Decline,Low,Yes
1012,Cumulonimbus,South,67.6,Orange,Low,Stable,Medium,Yes
1011.5,Cumulonimbus,East,57.3,Orange,Low,Decline,Low,Yes
1004.5,Cirrus,South,83.1,Green,High,Decline,High,No
1004.3,Cumulonimbus,South,45,Orange,High,Stable,High,Yes
1002.7,Cirrus,South,84.5,Green,High,Stable,High,No
1011.7,Cumulonimbus,South,53.1,Orange,High,Rise,High,Yes
1014,Cumulonimbus,South,73.4,Orange,Low,Rise,High,Yes
1012,Stratus,North,58.4,Orange,Low,Decline,Medium,Yes
1004.7,Cirrus,East,84.6,Gray,Medium,Decline,Low,No
1011.6,Cumulonimbus,East,57.6,Gray,High,Stable,Low,Yes
1013.2,Cumulonimbus,East,65.3,Orange,Low,Decline,Low,Yes
1002.2,Cirrus,South,77.7,Green,High,Stable,High,No
1011.1,Stratus,South,46.2,Orange,High,Stable,High,Yes
1006.7,Cirrus,West,84.4,Gray,Low,Decline,Low,No
1005.5,Stratus,East,82.3,Green,Medium,Rise,Low,No
1011.8,Stratus,South,41.2,Orange,High,Stable,Low,Yes
1011,Stratus,East,52.4,Orange,Low,Decline,Low,Yes
1005.4,Stratus,South,72.4,Orange,High,Stable,High,Yes
1013.9,Cumulonimbus,East,72.7,Blue,Low,Rise,Low,Yes
1021.1,Cirrus,,79.2,Green,High,Rise,High,No
1004.1,Cirrus,East,75.9,Green,Low,Stable,High,No
1006.8,Cirrus,South,75.7,Green,High,Stable,High,No
1004.5,Cirrus,East,47.2,Gray,High,Decline,High,No
1011,Cumulonimbus,East,60.6,Orange,Low,Decline,High,Yes
1011.8,Cumulonimbus,East,45.3,Orange,Low,Decline,Low,Yes
1011.3,Cumulonimbus,East,70.5,Orange,Low,Decline,Low,Yes
1003.7,Cirrus,East,79.7,Blue,Low,Decline,High,No
1011.1,Cirrus,South,69.8,Orange,High,Rise,High,Yes
1004.8,Cirrus,West,77.4,Green,High,Stable,Low,No
1013.4,Cirrus,South,57.4,Orange,High,Rise,High,Yes
1013,Cumulonimbus,West,69.8,Orange,Medium,Stable,High,Yes
1002.4,Cirrus,,48.8,Green,Low,Decline,Low,No
1013,Cumulonimbus,South,57,Orange,High,Rise,Medium,Yes
1011.7,Cumulonimbus,South,68.2,Orange,Low,,High,Yes
1019.1,Cirrus,West,80.3,Green,Low,Rise,High,No
1023.6,Cirrus,South,79.4,Green,High,Stable,Medium,No
1003.3,Stratus,South,82.7,Green,High,Stable,High,No
1013.8,Cirrus,East,55.6,Blue,Low,Decline,High,Yes
1002,Cirrus,East,81.3,Green,High,Stable,High,No
1021.8,Stratus,South,76,,High,Stable,Low,No
1018.3,Cirrus,East,83.9,Green,High,Decline,Low,No
1013.4,Cumulonimbus,South,66.4,Orange,Low,Stable,High,Yes
1005.5,Cumulonimbus,North,81.7,Green,Low,Decline,Medium,No
1022.9,Cirrus,South,80.4,Blue,Low,Stable,Medium,No
1004.6,Cumulonimbus,East,55.6,Orange,High,Stable,High,Yes
1011.5,Cumulonimbus,South,72.3,Orange,Low,Stable,High,Yes
1002,Cirrus,East,75,Green,Medium,Rise,Low,No
1011.9,Cumulonimbus,East,58.9,Orange,Low,Decline,Low,Yes
1006.4,Stratus,East,83.2,Green,Low,Stable,Low,No
1012.1,Cumulonimbus,,41.5,,Low,Decline,Low,Yes
1003.4,Cirrus,North,78.4,Green,High,Decline,Low,No
1002.9,Cirrus,West,77.5,Green,Low,Stable,High,No
1012.6,Cumulonimbus,East,71.2,Orange,Low,Decline,Low,Yes
1005.7,Stratus,East,84,Green,Medium,Decline,Low,No
1002.7,Cirrus,South,85,Green,Low,Decline,High,No
1003.8,Cumulonimbus,West,75.3,Green,High,Stable,High,No
1012.2,Cumulonimbus,West,45.6,Orange,High,,Low,Yes
1005.2,Cirrus,West,76.1,Blue,Low,,High,No
1021,Cirrus,East,84.8,Green,Low,Decline,Low,No
1013.2,Cumulonimbus,East,64.3,Orange,Low,Decline,Medium,Yes
1002.4,Cirrus,,84.7,Green,Medium,Stable,High,No
1002.8,Cirrus,East,79.7,Green,Low,Decline,Low,No
1007,Stratus,North,81.2,Green,Low,Decline,Low,No
1005,Cumulonimbus,East,75.9,Green,Low,Decline,Low,No
1003.8,Cumulonimbus,North,78.6,Green,Low,,Low,No
1003.9,Cumulonimbus,West,56,Orange,High,Stable,High,Yes
1012.4,Stratus,East,41.7,Orange,Low,,Medium,Yes
1013.1,Cumulonimbus,,47,Orange,High,,High,Yes
1021.4,Cirrus,South,48.3,Gray,High,Stable,High,No
1013,Cumulonimbus,South,66.9,Gray,Low,Stable,Low,Yes
1013.9,Cumulonimbus,East,68.9,Orange,Low,Decline,Medium,Yes
1011.8,Cumulonimbus,West,61.5,Orange,High,Stable,High,Yes
1004,Cirrus,East,83.8,Green,Medium,Decline,Low,No
1005.3,Cirrus,East,76.5,Green,Low,Decline,Medium,No
1004,Cirrus,East,77.2,,Low,,Low,No
1006.1,Cumulonimbus,West,59.5,Orange,Low,Decline,Low,Yes
1011.1,Cirrus,South,73.9,Gray,High,Stable,High,Yes
1004.1,Cirrus,East,84.8,Green,High,Stable,Medium,No
1011.2,Cumulonimbus,East,60.6,Orange,Low,Decline,Medium,Yes
1013.5,Cumulonimbus,South,67.7,Orange,Medium,Stable,High,Yes
1004.1,Cirrus,West,76.8,Green,High,Stable,High,No
1006,Cirrus,East,84.7,Green,Medium,Stable,High,No
1013.5,Cumulonimbus,South,73.9,Orange,High,Decline,Medium,Yes
1012.9,Cumulonimbus,East,67.8,Blue,Medium,Rise,High,Yes
1006.8,Cirrus,,79.2,Green,High,Stable,High,No
1002.3,Cirrus,East,84.3,Green,Medium,Decline,Low,No
1011.8,Stratus,East,64.1,Orange,Low,Rise,Low,Yes
1012.9,Cumulonimbus,East,72.7,Orange,Low,Decline,Medium,Yes
1004.6,Cirrus,East,75.3,Green,High,Stable,High,No
1002.6,Cumulonimbus,East,70,Blue,Medium,Decline,Low,Yes
1011.4,Cumulonimbus,South,68,Orange,High,Rise,Medium,Yes
1002.6,Cirrus,West,82.4,Green,Low,Decline,High,No
1003.1,Cirrus,East,81.6,Green,Low,Decline,Low,No
1006.1,Cirrus,North,79.1,Green,Low,Decline,Low,No
1011.3,Stratus,East,60.5,Orange,High,Rise,High,Yes
1005.2,Stratus,South,82.5,Green,High,Rise,High,No
1002.6,Stratus,South,80.9,Gray,High,Decline,Low,No
1013.6,Cumulonimbus,East,51.1,Orange,Low,Decline,Low,Yes
1006.5,Cirrus,East,83.8,Green,High,Stable,High,No
1004.5,Cirrus,West,61.8,Orange,Medium,Decline,Low,Yes
1004.5,Cirrus,East,75.2,Green,Low,Decline,Low,No
1012,Cumulonimbus,South,64.1,Blue,High,Stable,High,Yes
1012.6,Cumulonimbus,South,56.8,Orange,High,Stable,High,Yes
1006,Cirrus,East,45.5,Green,Low,Rise,Medium,No
1012.5,Cumulonimbus,East,50.5,Orange,High,Rise,Low,Yes
1011.9,Stratus,West,68.8,Orange,Low,Rise,Low,Yes
1012.1,Cumulonimbus,East,60.1,Orange,Low,Decline,Low,Yes
1004.8,Cirrus,East,81.9,Blue,High,Rise,High,No
1012.6,Stratus,North,55.6,Orange,High,Decline,Low,Yes
1002.5,Cirrus,North,77.7,Blue,High,Decline,Medium,No
1013.1,Cumulonimbus,South,47.8,Orange,High,Stable,High,Yes
1013.7,Cumulonimbus,South,62.9,Orange,High,Stable,Medium,Yes
1004.7,Cumulonimbus,East,53.5,Orange,High,Stable,High,Yes
1011.1,Cumulonimbus,West,60,Orange,Low,Decline,Low,Yes
1006.8,Cirrus,East,76.1,Green,Low,Decline,Low,No
1012.1,Cumulonimbus,South,61,Orange,High,Stable,High,Yes
1006.7,Cumulonimbus,South,79.3,Blue,High,Decline,Medium,No
1013.7,Cumulonimbus,East,60.1,Orange,Low,Decline,High,Yes
1004.4,Cumulonimbus,West,48,Blue,Low,Decline,Low,No
1011.3,Cumulonimbus,East,65.2,Gray,Low,Decline,Low,Yes
1020.7,Cirrus,East,81,Green,Medium,,Medium,No
1024.9,Cirrus,West,79.1,Green,Low,Decline,High,No
1023.3,Cirrus,North,79.2,Green,Low,Decline,Low,No
1019.2,Cirrus,East,78.6,Gray,Low,Rise,Low,No
1011.5,Stratus,East,71,Orange,Low,Stable,High,Yes
1013.3,Cumulonimbus,South,58.2,Blue,High,Stable,Low,Yes
1011.2,Cumulonimbus,South,46.1,Blue,High,,High,Yes
1013.8,Cumulonimbus,South,64.4,Orange,High,Stable,Low,Yes
1012.2,Cirrus,South,50.9,Orange,High,Decline,High,Yes
1006.3,Cirrus,West,83.1,Gray,Low,Decline,Low,No
1003.2,Stratus,East,76.4,Gray,Low,Decline,Medium,No
1004.6,Stratus,South,41.6,Green,High,Stable,High,No
1002.5,Cirrus,East,80.3,Green,Low,Rise,Medium,No
1003,Stratus,South,80,Green,High,Decline,High,No
1002.1,Stratus,East,75.9,Gray,Low,Rise,High,No
1004.7,Stratus,South,76.6,Green,High,Rise,High,No
1011.6,Cumulonimbus,South,42.4,Blue,High,Stable,Low,Yes
1003.5,Cirrus,North,84.1,Green,Low,Decline,Medium,No
1005.5,Cumulonimbus,East,80,Green,Medium,Decline,Low,No
1020,Cirrus,,76.7,Blue,Medium,Decline,High,No
1012.4,Cumulonimbus,East,46.1,Blue,Low,Decline,Low,Yes
1002.2,Cumulonimbus,South,42,Blue,High,Stable,High,Yes
1012,Cumulonimbus,North,72.8,Orange,High,Decline,Low,Yes
1002.4,Cumulonimbus,East,73,Orange,Medium,Decline,High,Yes
1002.8,Cumulonimbus,West,48.1,Orange,Low,Decline,Low,Yes
1012.7,Cirrus,,54.8,Orange,Low,Decline,Low,Yes
1003.5,Cumulonimbus,West,69.4,Orange,Low,Decline,High,Yes
1013.6,Cumulonimbus,West,51.2,Gray,Low,Decline,Low,Yes
1020.4,Cirrus,East,78,,Low,Decline,Low,No
1023.6,Cirrus,South,41.1,Green,High,Stable,High,No
1002,Cirrus,East,77.1,Green,High,Rise,High,No
1018.8,Cirrus,West,84.7,Green,Medium,Stable,High,No
1005,Stratus,East,78.5,Blue,Medium,Decline,Low,No
1024.9,Stratus,East,75.9,Gray,Low,Decline,High,No
1005.4,Stratus,East,79.3,Green,Low,Decline,Low,No
1004.7,Cirrus,South,76.8,Gray,High,,Medium,No
1012.5,Cumulonimbus,East,60.6,Orange,High,Decline,High,Yes
1012.9,Cumulonimbus,South,63.4,Orange,High,Rise,High,Yes
1007,Cirrus,East,81,,Low,Rise,Low,No
1012.2,Cumulonimbus,South,41.3,Orange,Low,Rise,High,Yes
1011,Cumulonimbus,South,64.2,Orange,High,Stable,Low,Yes
1002.3,Cirrus,South,84.9,Green,High,Rise,High,No
1004.1,Cirrus,East,46.1,Green,High,Stable,High,No
1005.2,Cumulonimbus,East,40.5,Gray,Low,Decline,Medium,No
1004.9,Cumulonimbus,East,47.4,Green,High,,High,No
1006.7,Cirrus,South,48.5,Green,Low,Stable,High,No
1011.1,Cumulonimbus,East,62.7,Orange,Low,Decline,Low,Yes
1022.5,Cirrus,South,82.4,Blue,High,Decline,High,No
1003.1,Stratus,East,78.7,Green,High,Decline,High,No
1011.6,Stratus,East,73.5,Orange,Low,Decline,Low,Yes
1011.4,Cirrus,South,66.2,Orange,High,Stable,High,Yes
1012.6,Cumulonimbus,,60.5,Orange,High,Decline,Medium,Yes
1004.4,Stratus,South,58.9,Orange,High,Stable,High,Yes
1006.5,Cirrus,South,75.7,Green,Low,Stable,High,No
1012.4,Cumulonimbus,North,58.7,,Medium,Decline,Low,Yes
1003.8,Cirrus,East,77.8,Gray,High,,High,No
1013.5,Cumulonimbus,North,44.3,Orange,Low,Rise,Low,Yes
1002.1,Cumulonimbus,East,59.6,Blue,Medium,Decline,Low,Yes
1013.2,Cumulonimbus,East,61.3,,Low,Decline,Low,Yes
1003.6,Stratus,East,81.3,Green,Medium,Decline,Low,No
1003.3,Cirrus,West,78.5,Green,High,Stable,High,No
1003.5,Cirrus,East,80.8,Gray,Low,Decline,Low,No
1012.1,Cumulonimbus,South,40.5,Blue,High,Stable,High,Yes
1006,Cirrus,East,46.4,Green,High,Decline,Low,No
1012.3,Stratus,East,48,Gray,Medium,Stable,Low,Yes
1002.9,Cirrus,West,78,Green,Low,Decline,Low,No
1013.4,Stratus,West,63.2,Orange,Low,Decline,Low,Yes
1012.3,Cirrus,West,55.9,Orange,Low,Decline,High,Yes
1011.2,Cumulonimbus,East,61.9,Orange,Medium,Decline,Low,Yes
1019.2,Stratus,East,82.3,Green,High,Stable,High,No
1005.5,Cirrus,North,76.7,Green,Medium,Decline,Medium,No
1005,Stratus,East,81.4,Green,Low,Decline,High,No
1003.3,Cirrus,East,82,Green,Low,Decline,Low,No
1020.6,Cirrus,South,78.2,Gray,High,Rise,High,No
1006.9,Cirrus,South,46.9,Gray,Low,Stable,High,No
1002.5,Stratus,East,79.9,Gray,High,Decline,Low,No
1006.3,Cirrus,West,78.2,Green,High,Rise,High,No
1006.2,Stratus,East,76.6,Green,Low,Rise,Low,No
1006.4,Cirrus,,77.6,Green,Low,Stable,Low,No
1012.4,Cumulonimbus,South,47.7,Orange,Low,Stable,High,Yes
1011.7,Cumulonimbus,South,40.8,Orange,High,Stable,High,Yes
1011.1,Cumulonimbus,East,66.1,,Low,Decline,Low,Yes
1003.6,Cirrus,East,46.1,Green,Low,Decline,Low,No
1011.3,Cumulonimbus,South,72.2,Orange,High,Rise,High,Yes
1020.1,Stratus,South,84.3,Green,High,Stable,High,No
1021.7,Cumulonimbus,,80.2,Green,High,Decline,Low,No
1004,Cirrus,East,84.2,,Low,Decline,Low,No
1012.7,Cumulonimbus,East,61.7,Orange,Low,Decline,High,Yes
1012.8,Stratus,East,60,Orange,Medium,Decline,Low,Yes
1011.1,Cumulonimbus,South,71.8,Orange,Medium,,High,Yes
1002.2,Cirrus,South,81.6,Green,High,Decline,High,No
1012.5,Cumulonimbus,South,70.9,Orange,High,Stable,High,Yes
1002.7,Cirrus,East,79.2,Green,Low,Decline,Low,No
1002.7,Cumulonimbus,North,69,Orange,Low,Decline,Low,Yes
1011.4,Cumulonimbus,East,55.1,Orange,High,Stable,Low,Yes
1005.6,Cumulonimbus,East,75.6,Green,Low,Decline,Low,No
1011.3,Stratus,East,70.9,Orange,High,Decline,Medium,Yes
1006.7,Cirrus,South,41.5,Green,Low,Stable,High,No
1004.4,Cumulonimbus,West,73.5,Orange,High,Stable,Low,Yes
1012.7,Cumulonimbus,South,64.6,Orange,Low,Decline,High,Yes
1013,Cumulonimbus,South,45.1,Orange,Medium,Stable,High,Yes
1006.6,Cirrus,West,47.2,Blue,High,Stable,Medium,No
1013.4,Cumulonimbus,East,52.3,Orange,High,,High,Yes
1005.2,Cirrus,South,43.6,Green,High,Stable,High,No
1011.2,Cumulonimbus,South,57.2,Orange,Medium,Decline,Medium,Yes
1022,Cirrus,East,80.6,Green,Low,Decline,Low,No
1013.3,Cirrus,West,58.8,,Low,Rise,High,Yes
1011.2,Cirrus,South,61.7,Orange,High,Stable,Low,Yes
1007,Cumulonimbus,West,82.2,Green,High,Stable,Medium,No
1012.6,Cumulonimbus,,51.8,Orange,High,Stable,High,Yes
1011,Cumulonimbus,South,55,Orange,High,Rise,High,Yes
